accommodates,bathrooms,bedrooms,beds,host_total_listings_count,minimum_nights,number_of_reviews,price,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value
4.0,1.0,2.0,2.0,1.0,2.0,112.0,139.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0
4.0,2.0,2.0,2.0,1.0,2.0,7.0,320.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
5.0,2.0,3.0,4.0,1.0,5.0,2.0,210.0,10.0,10.0,9.0,10.0,10.0,90.0,10.0
2.0,2.0,1.0,1.0,1.0,2.0,290.0,105.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0
4.0,1.0,2.0,2.0,1.0,30.0,8.0,170.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
3.0,1.0,1.0,1.0,1.0,1.0,98.0,89.0,9.0,9.0,9.0,10.0,9.0,89.0,9.0
7.0,3.5,4.0,5.0,1.0,5.0,1.0,400.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,3.0,59.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
4.0,1.0,1.0,2.0,1.0,2.0,41.0,140.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0
6.0,1.0,3.0,4.0,1.0,2.0,37.0,270.0,10.0,10.0,10.0,10.0,10.0,98.0,9.0
2.0,1.0,1.0,1.0,1.0,3.0,65.0,135.0,10.0,10.0,10.0,10.0,10.0,97.0,9.0
2.0,1.0,1.0,1.0,1.0,2.0,50.0,90.0,10.0,10.0,10.0,10.0,10.0,97.0,10.0
2.0,1.0,1.0,1.0,1.0,5.0,15.0,99.0,10.0,10.0,9.0,10.0,10.0,93.0,9.0
2.0,1.0,1.0,1.0,1.0,30.0,4.0,124.0,10.0,10.0,9.0,10.0,10.0,90.0,9.0
6.0,1.0,2.0,6.0,1.0,4.0,5.0,180.0,10.0,10.0,9.0,10.0,10.0,100.0,10.0
4.0,1.0,1.0,3.0,1.0,3.0,20.0,100.0,10.0,10.0,10.0,10.0,10.0,96.0,10.0
4.0,1.0,2.0,2.0,1.0,1.0,19.0,275.0,10.0,10.0,10.0,10.0,9.0,99.0,10.0
4.0,1.0,0.0,2.0,1.0,5.0,310.0,149.0,10.0,10.0,10.0,10.0,9.0,96.0,9.0
2.0,1.0,1.0,1.0,1.0,3.0,73.0,105.0,10.0,10.0,10.0,10.0,10.0,96.0,9.0
4.0,1.0,2.0,2.0,1.0,2.0,13.0,280.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0
5.0,2.0,2.0,2.0,1.0,3.0,27.0,199.0,10.0,10.0,10.0,10.0,9.0,98.0,10.0
6.0,3.0,3.0,3.0,1.0,3.0,21.0,325.0,10.0,10.0,9.0,10.0,10.0,97.0,10.0
3.0,1.0,1.0,2.0,1.0,3.0,147.0,143.0,10.0,10.0,9.0,10.0,9.0,96.0,9.0
2.0,1.0,1.0,1.0,1.0,2.0,170.0,185.0,10.0,10.0,10.0,10.0,10.0,97.0,10.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,150.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
2.0,1.5,1.0,1.0,1.0,2.0,54.0,115.0,10.0,10.0,10.0,10.0,9.0,95.0,9.0
2.0,1.0,1.0,1.0,1.0,5.0,48.0,147.0,10.0,10.0,10.0,10.0,10.0,99.0,10.0
2.0,1.0,0.0,2.0,1.0,30.0,21.0,100.0,10.0,10.0,10.0,10.0,10.0,99.0,10.0
1.0,1.0,1.0,1.0,1.0,10.0,6.0,90.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
7.0,3.5,3.0,3.0,1.0,3.0,0.0,300.0,10.0,10.0,10.0,10.0,10.0,97.0,10.0
6.0,3.0,3.0,3.0,1.0,2.0,3.0,175.0,10.0,10.0,8.0,10.0,10.0,87.0,10.0
6.0,1.5,3.0,3.0,1.0,30.0,45.0,175.0,9.0,10.0,10.0,10.0,8.0,94.0,9.0
1.0,1.0,1.0,1.0,1.0,1.0,2.0,159.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
8.0,2.0,4.0,4.0,1.0,30.0,84.0,275.0,10.0,10.0,10.0,10.0,9.0,97.0,9.0
2.0,1.0,0.0,1.0,1.0,1.0,1.0,115.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
3.0,1.0,2.0,2.0,1.0,3.0,136.0,85.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
2.0,1.0,1.0,1.0,1.0,3.0,6.0,100.0,10.0,10.0,10.0,10.0,9.0,100.0,10.0
